이름,이메일,상황 1,상황 2,상황 3,상황 4,상황 5,상황 6,상황 7,상황 8,상황 9,상황 10,상황 11,상황 12,상황 13,상황 14,상황 15,상황 16,상황 17,상황 18,상황 19,상황 20
예시응답자1,example1@cau.ac.kr,구매하겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다
예시응답자2,example2@cau.ac.kr,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다
예시응답자3,example3@cau.ac.kr,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다
예시응답자4,example4@cau.ac.kr,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다
예시응답자5,example5@cau.ac.kr,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다
예시응답자6,example6@cau.ac.kr,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다
예시응답자7,example7@cau.ac.kr,구매하겠다,구매하겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다
예시응답자8,example8@cau.ac.kr,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다
예시응답자9,example9@cau.ac.kr,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다
예시응답자10,example10@cau.ac.kr,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다
예시응답자11,example11@cau.ac.kr,구매하겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하겠다
예시응답자12,example12@cau.ac.kr,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다,구매하겠다,구매하지 않겠다,구매하겠다,구매하겠다,구매하지 않겠다,구매하지 않겠다
